lead_id,date,month,month_num,source,inbound,city,brand,status,delay_days,cpl_eur,vehicle_value,margin_eur,margin_pct
VM00001,2025-01-01,2025-01,1,LeBonCoin,False,Lille,Volkswagen,RDV planifié,1,8,,,
VM00002,2025-01-01,2025-01,1,LeBonCoin,False,Montpellier,Peugeot,En cours,1,8,,,
VM00003,2025-01-01,2025-01,1,LeBonCoin,False,Lyon,Peugeot,RDV planifié,1,8,,,
VM00004,2025-01-02,2025-01,1,LeBonCoin,False,Nice,Renault,NRP,3,8,,,
VM00005,2025-01-02,2025-01,1,LaCentrale,False,Montpellier,Ford,RDV planifié,6,8,,,
VM00006,2025-01-02,2025-01,1,LaCentrale,False,Lille,Renault,En cours,5,8,,,
VM00007,2025-01-03,2025-01,1,LeBonCoin,False,Strasbourg,Toyota,RDV effectué,4,8,,,
VM00008,2025-01-03,2025-01,1,LaCentrale,False,Marseille,Peugeot,En cours,2,8,,,
VM00009,2025-01-04,2025-01,1,LeBonCoin,False,Marseille,Toyota,NRP,1,8,,,
VM00010,2025-01-04,2025-01,1,LaCentrale,False,Lyon,Dacia,RDV planifié,7,8,,,
VM00011,2025-01-05,2025-01,1,LeBonCoin,False,Bordeaux,Opel,RDV planifié,4,8,,,
VM00012,2025-01-05,2025-01,1,LeBonCoin,False,Marseille,Mercedes,En cours,5,8,,,
VM00013,2025-01-05,2025-01,1,LeBonCoin,False,Lyon,Volkswagen,NRP,1,8,,,
VM00014,2025-01-05,2025-01,1,LaCentrale,False,Toulouse,Peugeot,RDV effectué,3,8,,,
VM00015,2025-01-06,2025-01,1,LeBonCoin,False,Marseille,Citroën,En cours,4,8,,,
VM00016,2025-01-06,2025-01,1,LeBonCoin,False,Lille,Peugeot,En cours,2,8,,,
VM00017,2025-01-06,2025-01,1,LaCentrale,False,Montpellier,Volkswagen,RDV planifié,2,8,,,
VM00018,2025-01-07,2025-01,1,LeBonCoin,False,Lille,Opel,NRP,2,8,,,
VM00019,2025-01-07,2025-01,1,LeBonCoin,False,Lyon,Volkswagen,NRP,2,8,,,
VM00020,2025-01-07,2025-01,1,LeBonCoin,False,Toulouse,Mercedes,Signé,14,8,7200.0,583.0,0.081
VM00021,2025-01-08,2025-01,1,LeBonCoin,False,Rennes,Citroën,Signé,7,8,6500.0,650.0,0.1
VM00022,2025-01-08,2025-01,1,LeBonCoin,False,Montpellier,Opel,En cours,2,8,,,
VM00023,2025-01-08,2025-01,1,LaCentrale,False,Strasbourg,Mercedes,En cours,5,8,,,
VM00024,2025-01-09,2025-01,1,LeBonCoin,False,Nantes,Opel,En cours,2,8,,,
VM00025,2025-01-09,2025-01,1,LaCentrale,False,Bordeaux,Citroën,En cours,1,8,,,
VM00026,2025-01-09,2025-01,1,LaCentrale,False,Strasbourg,Mercedes,RDV planifié,7,8,,,
VM00027,2025-01-09,2025-01,1,LaCentrale,False,Nice,Dacia,NRP,2,8,,,
VM00028,2025-01-10,2025-01,1,LeBonCoin,False,Lyon,Peugeot,RDV planifié,5,8,,,
VM00029,2025-01-10,2025-01,1,LeBonCoin,False,Lille,Toyota,RDV effectué,10,8,,,
VM00030,2025-01-11,2025-01,1,LeBonCoin,False,Nantes,Dacia,NRP,2,8,,,
VM00031,2025-01-11,2025-01,1,LaCentrale,False,Lille,Opel,NRP,3,8,,,
VM00032,2025-01-11,2025-01,1,LaCentrale,False,Bordeaux,BMW,RDV effectué,10,8,,,
VM00033,2025-01-13,2025-01,1,LeBonCoin,False,Nantes,Opel,Signé,10,8,8600.0,619.0,0.072
VM00034,2025-01-13,2025-01,1,LeBonCoin,False,Lyon,Mercedes,Perdu,11,8,,,
VM00035,2025-01-13,2025-01,1,LaCentrale,False,Bordeaux,Toyota,En cours,1,8,,,
VM00036,2025-01-14,2025-01,1,LeBonCoin,False,Nice,Peugeot,Signé,14,8,7100.0,462.0,0.065
VM00037,2025-01-14,2025-01,1,LeBonCoin,False,Bordeaux,Opel,NRP,2,8,,,
VM00038,2025-01-14,2025-01,1,LeBonCoin,False,Rennes,Opel,RDV effectué,4,8,,,
VM00039,2025-01-14,2025-01,1,LeBonCoin,False,Nice,Ford,NRP,3,8,,,
VM00040,2025-01-14,2025-01,1,LaCentrale,False,Toulouse,BMW,Perdu,11,8,,,
VM00041,2025-01-14,2025-01,1,LaCentrale,False,Rennes,Opel,En cours,3,8,,,
VM00042,2025-01-14,2025-01,1,LaCentrale,False,Toulouse,Peugeot,En cours,2,8,,,
VM00043,2025-01-15,2025-01,1,LeBonCoin,False,Montpellier,Volkswagen,En cours,5,8,,,
VM00044,2025-01-15,2025-01,1,LeBonCoin,False,Bordeaux,Renault,RDV planifié,1,8,,,
VM00045,2025-01-15,2025-01,1,LaCentrale,False,Marseille,Peugeot,En cours,1,8,,,
VM00046,2025-01-16,2025-01,1,LeBonCoin,False,Rennes,Volkswagen,RDV planifié,3,8,,,
VM00047,2025-01-16,2025-01,1,LeBonCoin,False,Nice,Mercedes,RDV planifié,6,8,,,
VM00048,2025-01-17,2025-01,1,LeBonCoin,False,Strasbourg,Volkswagen,En cours,4,8,,,
VM00049,2025-01-18,2025-01,1,LeBonCoin,False,Strasbourg,Toyota,NRP,3,8,,,
VM00050,2025-01-18,2025-01,1,LeBonCoin,False,Lyon,Peugeot,En cours,4,8,,,
VM00051,2025-01-18,2025-01,1,LaCentrale,False,Marseille,Peugeot,NRP,3,8,,,
VM00052,2025-01-18,2025-01,1,LaCentrale,False,Montpellier,Dacia,En cours,2,8,,,
VM00053,2025-01-19,2025-01,1,LeBonCoin,False,Lille,Dacia,NRP,1,8,,,
VM00054,2025-01-19,2025-01,1,LeBonCoin,False,Rennes,Opel,En cours,1,8,,,
VM00055,2025-01-19,2025-01,1,LaCentrale,False,Montpellier,Renault,NRP,3,8,,,
VM00056,2025-01-20,2025-01,1,LeBonCoin,False,Toulouse,Citroën,Perdu,15,8,,,
VM00057,2025-01-20,2025-01,1,LeBonCoin,False,Toulouse,Ford,En cours,4,8,,,
VM00058,2025-01-20,2025-01,1,LaCentrale,False,Lille,Dacia,Signé,4,8,7500.0,1042.0,0.139
VM00059,2025-01-21,2025-01,1,LeBonCoin,False,Rennes,Citroën,En cours,5,8,,,
VM00060,2025-01-22,2025-01,1,LeBonCoin,False,Lyon,Mercedes,NRP,1,8,,,
VM00061,2025-01-22,2025-01,1,LeBonCoin,False,Marseille,Renault,RDV effectué,2,8,,,
VM00062,2025-01-22,2025-01,1,LeBonCoin,False,Montpellier,Opel,NRP,2,8,,,
VM00063,2025-01-23,2025-01,1,LeBonCoin,False,Bordeaux,Citroën,NRP,3,8,,,
VM00064,2025-01-23,2025-01,1,LaCentrale,False,Toulouse,Ford,NRP,1,8,,,
VM00065,2025-01-23,2025-01,1,LaCentrale,False,Toulouse,Mercedes,NRP,3,8,,,
VM00066,2025-01-23,2025-01,1,LaCentrale,False,Bordeaux,Ford,RDV planifié,5,8,,,
VM00067,2025-01-23,2025-01,1,LaCentrale,False,Montpellier,Toyota,RDV planifié,5,8,,,
VM00068,2025-01-25,2025-01,1,LeBonCoin,False,Marseille,Volkswagen,Perdu,6,8,,,
VM00069,2025-01-25,2025-01,1,LeBonCoin,False,Lille,Dacia,En cours,2,8,,,
VM00070,2025-01-25,2025-01,1,LaCentrale,False,Lyon,Dacia,En cours,1,8,,,
VM00071,2025-01-26,2025-01,1,LeBonCoin,False,Bordeaux,Peugeot,RDV planifié,5,8,,,
VM00072,2025-01-26,2025-01,1,LeBonCoin,False,Lille,Citroën,RDV planifié,5,8,,,
VM00073,2025-01-27,2025-01,1,LeBonCoin,False,Toulouse,Toyota,Perdu,4,8,,,
VM00074,2025-01-27,2025-01,1,LeBonCoin,False,Montpellier,BMW,En cours,4,8,,,
VM00075,2025-01-27,2025-01,1,LeBonCoin,False,Montpellier,Renault,RDV planifié,7,8,,,
VM00076,2025-01-27,2025-01,1,LeBonCoin,False,Lille,Peugeot,RDV planifié,5,8,,,
VM00077,2025-01-27,2025-01,1,LaCentrale,False,Lille,Peugeot,Perdu,5,8,,,
VM00078,2025-01-28,2025-01,1,LeBonCoin,False,Nice,Volkswagen,Signé,13,8,8300.0,681.0,0.082
VM00079,2025-01-28,2025-01,1,LeBonCoin,False,Lille,Opel,RDV effectué,5,8,,,
VM00080,2025-01-28,2025-01,1,LaCentrale,False,Bordeaux,Ford,En cours,1,8,,,
VM00081,2025-01-29,2025-01,1,LeBonCoin,False,Lille,Citroën,Signé,2,8,3900.0,476.0,0.122
VM00082,2025-01-29,2025-01,1,LeBonCoin,False,Strasbourg,Opel,RDV effectué,10,8,,,
VM00083,2025-01-29,2025-01,1,LeBonCoin,False,Nantes,Opel,NRP,1,8,,,
VM00084,2025-01-29,2025-01,1,LaCentrale,False,Nice,Opel,NRP,2,8,,,
VM00085,2025-01-30,2025-01,1,LeBonCoin,False,Lyon,BMW,NRP,1,8,,,
VM00086,2025-01-30,2025-01,1,LaCentrale,False,Marseille,Volkswagen,En cours,1,8,,,
VM00087,2025-01-30,2025-01,1,LaCentrale,False,Marseille,Opel,RDV effectué,3,8,,,
VM00088,2025-01-31,2025-01,1,LeBonCoin,False,Toulouse,Citroën,Signé,8,8,9900.0,1188.0,0.12
VM00089,2025-01-31,2025-01,1,LeBonCoin,False,Nantes,Ford,Perdu,15,8,,,
VM00090,2025-01-31,2025-01,1,LaCentrale,False,Marseille,Ford,NRP,3,8,,,
VM00091,2025-01-31,2025-01,1,LaCentrale,False,Lille,Citroën,RDV effectué,5,8,,,
VM00092,2025-01-31,2025-01,1,LaCentrale,False,Strasbourg,Renault,RDV effectué,3,8,,,
VM00093,2025-01-31,2025-01,1,LaCentrale,False,Marseille,BMW,Signé,5,8,6400.0,851.0,0.133
VM00094,2025-02-01,2025-02,2,LeBonCoin,False,Strasbourg,Toyota,Signé,5,8,6600.0,746.0,0.113
VM00095,2025-02-01,2025-02,2,LeBonCoin,False,Lille,Toyota,En cours,1,8,,,
VM00096,2025-02-01,2025-02,2,LeBonCoin,False,Montpellier,Toyota,RDV planifié,4,8,,,
VM00097,2025-02-02,2025-02,2,LeBonCoin,False,Lille,Citroën,Perdu,4,8,,,
VM00098,2025-02-02,2025-02,2,LeBonCoin,False,Lyon,Peugeot,RDV planifié,3,8,,,
VM00099,2025-02-03,2025-02,2,LeBonCoin,False,Marseille,Ford,RDV planifié,3,8,,,
